hello,hi
hi,hello
greetings,hello
hello,greetings
hi how is it going,good
hi how is it going,fine
hi how is it going,okay
hi how is it going,great
hi how is it going,could be better
hi how is it going,not so great
how are you doing,good
how are you doing,very well thanks
how are you doing,fine and you
nice to meet you,thank you
how do you do,I'm doing well
how do you do,I'm doing well how are you
hi nice to meet you,thank you You too
It is a pleasure to meet you,thank you You too
top of the morning to you,thank you kindly
top of the morning to you,And the rest of the day to you
what's up,not much
what's up,not too much
what's up,not much how about you
what's up,nothing much
what's up,the sky's up but I'm fine thanks what about you
how are you,good and you
good morning how are you,I am doing well how about you
I am also good,that's good
are you all right ,nope I am sick
