Month-Year,Total Sales
10-01-2010,3168.598
11-01-2010,3526.591
12-01-2010,3180.891
01-01-2011,3252.221
02-01-2011,3611.003
03-01-2011,3565.869
04-01-2011,4306.371
05-01-2011,5088.335
06-01-2011,2814.52
07-01-2011,2985.811
08-01-2011,3204.78
09-01-2011,3127.578
10-01-2011,3270.523
11-01-2011,3737.85082
12-01-2011,3558.77609
01-01-2012,3777.20173
02-01-2012,3924.49042
03-01-2012,4386.53092
04-01-2012,5810.54917
05-01-2012,6192.06769
06-01-2012,3450.85699
07-01-2012,3772.30686
08-01-2012,3734.3029
09-01-2012,3905.39892
10-01-2012,4049.68714
11-01-2012,4315.56552
12-01-2012,4562.18455
01-01-2013,4608.66203
02-01-2013,4667.85129
03-01-2013,5093.84145
04-01-2013,7179.9622
05-01-2013,6731.47308
06-01-2013,3841.27758
07-01-2013,4394.07557
08-01-2013,4075.34073
09-01-2013,4540.6449
10-01-2013,4645.61508
11-01-2013,4752.60653
12-01-2013,5350.60467
01-01-2014,5204.45484
02-01-2014,5301.6513
03-01-2014,5773.74216
04-01-2014,6204.59348
05-01-2014,6749.48382
06-01-2014,4216.06735
07-01-2014,4949.34946
08-01-2014,4823.0449
09-01-2014,5194.75419
10-01-2014,5170.78711
11-01-2014,5256.74157
12-01-2014,5855.27729
01-01-2015,5490.72901
02-01-2015,6115.29323
03-01-2015,6088.47284
04-01-2015,7416.59792
05-01-2015,8329.45212
06-01-2015,5069.79585
07-01-2015,5262.55667
08-01-2015,5597.12628
09-01-2015,6110.296
10-01-2015,5689.16084
11-01-2015,6486.84933
12-01-2015,6300.56933
01-01-2016,6467.47574
02-01-2016,6828.62939
03-01-2016,6649.07826
04-01-2016,8606.93721
05-01-2016,8524.47101
06-01-2016,5277.91837
07-01-2016,5714.30345
08-01-2016,6214.52908
09-01-2016,6411.92919
10-01-2016,6667.71564
11-01-2016,7050.83102
12-01-2016,6704.91861
01-01-2017,7250.98761
02-01-2017,7819.73318
03-01-2017,7398.10106
04-01-2017,10096.23339
05-01-2017,8798.51303
06-01-2017,5918.26076
07-01-2017,6534.49298
08-01-2017,6675.73561
09-01-2017,7064.20058
10-01-2017,7383.38118
11-01-2017,7813.49587
12-01-2017,7431.89221
01-01-2018,8275.11722
02-01-2018,8260.44138
03-01-2018,8596.15575
04-01-2018,10558.93902
05-01-2018,10391.4156
06-01-2018,6421.53456
07-01-2018,8062.61937
08-01-2018,7297.7391
09-01-2018,7936.91594
10-01-2018,8165.32298
11-01-2018,8717.42046
12-01-2018,9070.96378
01-01-2019,9177.11337
02-01-2019,9251.88674
03-01-2019,9933.13643
04-01-2019,11532.97428
05-01-2019,12511.46235
06-01-2019,7457.19853
07-01-2019,8591.19084
08-01-2019,8474.00037
09-01-2019,9386.8026
10-01-2019,9560.39945
11-01-2019,10834.2948
